"","name","sacks","year","draft","production_ratio","production_ratio_zscore","production_ratio_percent_rank","sparq","sparq_zscore","sparq_percent_rank"
"1","Nigel Bradham",3.5,2012,"4",0.81,-0.9,0.17,126.74,0.77,0.786
"2","Andre Branch",14,2012,"2",1.52,0.28,0.56,118.41,0.15,0.54
"3","Quinton Coples",16.5,2012,"1",1.85,0.83,0.81,111.8,-0.34,0.366
"4","Tyrone Crawford",8,2012,"3",1.62,0.44,0.65,119.94,0.26,0.596
"5","Darius Fleming",0,2012,"5",1.02,-0.55,0.26,121.7,0.4,0.649
"6","Melvin Ingram",16.5,2012,"1",1.67,0.53,0.72,132.85,1.22,0.879
"7","Bruce Irvin",22,NA,NA,NA,NA,NA,NA,NA,NA
"8","Malik Jackson",14.5,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jonathan Massaquoi",6,2012,"5",2.02,1.11,0.88,108.25,-0.6,0.286
"10","Shea McClellin",7.5,2012,"1",1.63,0.46,0.66,116.43,0,0.494
"11","Whitney Mercilus",30,2012,"1",1.63,0.46,0.66,116.59,0.02,0.5
"12","Derrick Shelby",9,2012,"8",0.94,-0.69,0.2,116.33,0,0.491
"13","Jacquies Smith",13.5,2012,"8",1.24,-0.19,0.4,112.22,-0.31,0.398
"14","Scott Solomon",2,2012,"7",1.63,0.46,0.66,129.4,0.97,0.839
"15","Nathan Stupar",0,2012,"7",0.62,-1.22,0.12,113.29,-0.23,0.435
"16","Olivier Vernon",29,2012,"3",1.13,-0.37,0.31,123.45,0.52,0.693
"17","Kyle Wilber",3.5,2012,"4",1.42,0.11,0.53,119.08,0.2,0.568
"18","Billy Winn",3,2012,"6",0.96,-0.65,0.21,109.37,-0.52,0.32
"19","Sam Acho",13,2011,"8",1.75,0.66,0.74,122.34,0.44,0.668
"20","Akeem Ayers",13,2011,"2",1.38,0.05,0.51,107.49,-0.66,0.261
"21","Allen Bailey",7,2011,"3",1.38,0.05,0.51,127.77,0.84,0.811
"22","Brandon Bair",1.5,2011,"8",1.13,-0.37,0.31,108.47,-0.58,0.295
"23","Mason Foster",6,2011,"8",1.2,-0.25,0.38,106.09,-0.76,0.217
"24","Justin Houston",48.5,2011,"3",2.22,1.44,0.96,136.2,1.47,0.919
"25","Ryan Kerrigan",38,NA,NA,NA,NA,NA,NA,NA,NA
"26","Cliff Matthews",0,2011,"7",1.19,-0.27,0.36,106.12,-0.76,0.224
"27","Pernell McPhee",17,2011,"5",1.16,-0.32,0.33,97.88,-1.37,0.084
"28","Von Miller",49,2011,"1",2.56,2,0.98,140.7,1.8,0.966
"29","Dontay Moch",1,2011,"3",2.11,1.26,0.92,140.03,1.75,0.953
"30","Cheta Ozougwu",1,2011,"7",1,-0.59,0.23,117.03,0.05,0.509
"31","Robert Quinn",45,2011,"1",1.54,0.31,0.59,122.42,0.45,0.671
"32","Brooks Reed",14.5,2011,"2",1.02,-0.55,0.26,126.24,0.73,0.764
"33","D'Aundre Reed",10,2011,"7",0.5,-1.42,0.09,125.51,0.68,0.745
"34","Aldon Smith",44,2011,"1",1.63,0.46,0.66,112.39,-0.29,0.404
"35","Tyson Alualu",11,2010,"1",1.38,0.05,0.51,120.76,0.33,0.627
"36","Navorro Bowman",9,2010,"3",1.69,0.56,0.72,104.38,-0.89,0.189
"37","Kavell Conner",1,2010,"7",0.57,-1.3,0.11,113.1,-0.24,0.422
"38","Carlos Dunlap",27.5,2010,"2",1.57,0.36,0.61,111.87,-0.33,0.379
"39","A.J. Edds",0,2010,"8",0.4,-1.58,0.07,114.27,-0.16,0.45
"40","Junior Galette",21.5,2010,"8",1.66,0.51,0.71,124.27,0.59,0.724
"41","Greg Hardy",33,NA,NA,NA,NA,NA,NA,NA,NA
"42","Jerry Hughes",15,NA,NA,NA,NA,NA,NA,NA,NA
"43","Sergio Kindle",0,2010,"8",1.61,0.43,0.64,120.64,0.32,0.624
"44","Brandon Lang",1,2010,"8",1.98,1.04,0.84,89.07,-2.02,0.019
"45","Arthur Moats",5,NA,NA,NA,NA,NA,NA,NA,NA
"46","Jason Pierre-Paul",29.5,2010,"1",1.77,0.69,0.75,103.5,-0.95,0.158
"47","Ricky Sapp",0,2010,"5",1.29,-0.1,0.42,118.74,0.18,0.562
"48","George Selvie",2.5,2010,"7",1.24,-0.19,0.4,96.75,-1.45,0.062
"49","Daniel Te'o-Nesheim",5,2010,"3",1.77,0.69,0.75,136.14,1.46,0.916
"50","Jason Worilds",18,2010,"2",1.62,0.44,0.65,130.5,1.05,0.845
"51","Robert Ayers",6.5,2009,"1",1.33,-0.04,0.47,103.81,-0.93,0.171
"52","Connor Barwin",19,2009,"2",0.98,-0.62,0.22,138.14,1.61,0.941
"53","Everette Brown",7,2009,"2",2.04,1.14,0.9,114.78,-0.12,0.463
"54","Victor Butler",11,2009,"4",2.17,1.36,0.94,113.14,-0.24,0.429
"55","Aaron Curry",5.5,NA,NA,NA,NA,NA,NA,NA,NA
"56","Brian Cushing",9.5,2009,"1",0.74,-1.02,0.15,131.13,1.09,0.854
"57","Pannel Egboh",0,2009,"8",1.06,-0.49,0.28,114.07,-0.17,0.444
"58","Larry English",8.5,2009,"1",2,1.07,0.86,118.14,0.13,0.534
"59","Jarron Gilbert",0,2009,"3",1.79,0.73,0.78,123.98,0.56,0.705
"60","Tim Jamison",4,2009,"8",1.26,-0.15,0.41,89.89,-1.96,0.025
"61","Paul Kruger",15.5,2009,"2",1.33,-0.04,0.47,111.17,-0.38,0.351
"62","Aaron Maybin",6,2009,"1",1.56,0.34,0.6,119.62,0.24,0.584
"63","Zach Potter",0,2009,"8",1.18,-0.29,0.34,105.89,-0.78,0.211
"64","Jarius Wynn",6.5,2009,"6",0.35,-1.66,0.06,97.82,-1.37,0.081
"65","Cliff Avril",30,2008,"3",1.57,0.36,0.61,122.77,0.47,0.686
"66","Calais Campbell",21,2008,"2",2,1.07,0.86,91.04,-1.88,0.034
"67","Shawn Crable",1,2008,"3",2.08,1.21,0.91,110.13,-0.46,0.329
"68","Vernon Gholston",0,2008,"1",2.04,1.14,0.9,138.07,1.61,0.938
"69","Quentin Groves",2.5,2008,"2",1.31,-0.07,0.46,124,0.57,0.714
"70","Gary Guyton",4.5,2008,"8",1.02,-0.55,0.26,120.5,0.31,0.621
"71","Erin Henderson",1.5,2008,"8",0.78,-0.95,0.16,106.04,-0.76,0.214
"72","Bryan Kehl",1,2008,"4",1,-0.59,0.23,123.99,0.56,0.711
"73","CJ Ah",6,2007,"7",1.12,-0.39,0.3,129.38,0.96,0.835
"74","Antwan Barnes",9.5,2007,"4",2.33,1.62,0.97,136.56,1.5,0.922
"75","Quincy Black",3.5,2007,"3",0.25,-1.83,0.05,140.5,1.79,0.963
"76","Stewart Bradley",3,2007,"3",0.65,-1.17,0.13,131.25,1.1,0.857
"77","Adam Carriker",9,2007,"1",1.73,0.63,0.73,135.7,1.43,0.91
"78","Quentin Moses",3.5,2007,"3",1.87,0.86,0.82,101.86,-1.07,0.14
"79","Anthony Spencer",15.5,2007,"1",1.78,0.71,0.78,122.47,0.45,0.674
"80","Jason Hatcher",6.5,2006,"8",0.81,-0.9,0.17,124.43,0.6,0.727
"81","Clint Ingram",5.5,2006,"3",1.29,-0.1,0.42,136.94,1.52,0.929
"82","Stanley McClover",1,2006,"7",2.15,1.32,0.93,120.4,0.3,0.615
"83","James Wyche",0,2006,"7",1,-0.59,0.23,126.66,0.76,0.776
"84","Carlos Hall",14.5,2002,"7",0,-2.25,0,133.65,1.28,0.891
"85","John Stamper",0,2002,"8",0.04,-2.18,0.03,120.49,0.31,0.618
"86","Ross Kolodziej",4,2001,"7",0,-2.25,0,123.81,0.55,0.699
"87","Arnold Miller",2.5,1999,"8",0.7,-1.08,0.14,109.25,-0.53,0.314
