name,sacks,draft,production_ratio,sparq
Andre Branch,14,2,1.52,118.41
Quinton Coples,16.5,1,1.85,111.8
Tyrone Crawford,8,3,1.62,119.94
Melvin Ingram,16.5,1,1.67,132.85
Bruce Irvin,22,1,1.98,137.97
Malik Jackson,14.5,5,1.18,110.83
Jonathan Massaquoi,6,5,2.02,108.25
Shea McClellin,7.5,1,1.63,116.43
Whitney Mercilus,30,1,1.63,116.59
Derrick Shelby,9,8,0.94,116.33
Jacquies Smith,13.5,8,1.24,112.22
Olivier Vernon,29,3,1.13,123.45
Billy Winn,3,6,0.96,109.37
Sam Acho,13,8,1.75,122.34
Akeem Ayers,13,2,1.38,107.49
Allen Bailey,7,3,1.38,127.77
Justin Houston,48.5,3,2.22,136.2
Ryan Kerrigan,38,1,2.92,128.9
Cliff Matthews,0,7,1.19,106.12
Pernell McPhee,17,5,1.16,97.88
Von Miller,49,1,2.56,140.7
Dontay Moch,1,3,2.11,140.03
Cheta Ozougwu,1,7,1,117.03
Robert Quinn,45,1,1.54,122.42
Brooks Reed,14.5,2,1.02,126.24
D'Aundre Reed,10,7,0.5,125.51
Aldon Smith,44,1,1.63,112.39
J.J. Watt,57,1,1.85,143.36
Tyson Alualu,11,1,1.38,120.76
Carlos Dunlap,27.5,2,1.57,111.87
Junior Galette,21.5,8,1.66,124.27
Greg Hardy,33,6,1.64,111.87
Jerry Hughes,15,1,2.4,131.31
Arthur Moats,5,6,2.46,123.98
Jason Pierre-Paul,29.5,1,1.31,103.5
George Selvie,2.5,7,1.24,96.75
Daniel Te'o-Nesheim,5,3,1.77,136.14
Jason Worilds,18,2,1.62,130.5
Robert Ayers,6.5,1,1.33,103.81
Connor Barwin,19,2,0.98,138.14
Everette Brown,7,2,2.04,114.78
Victor Butler,11,4,2.17,113.14
Aaron Curry,5.5,1,1.35,128.16
Larry English,8.5,1,2,118.14
Tim Jamison,4,8,1.26,89.89
Paul Kruger,15.5,2,1.33,111.17
Aaron Maybin,6,1,1.56,119.62
Clay Matthews,42.5,1,0.63,126.72
Jarius Wynn,6.5,6,0.35,97.82
Cliff Avril,30,3,1.57,122.77
Calais Campbell,21,2,2,91.04
Vernon Gholston,0,1,2.04,138.07
Quentin Groves,2.5,2,1.31,124
CJ Ah,6,7,1.12,129.38
Antwan Barnes,9.5,4,2.33,136.56
Adam Carriker,9,1,1.73,135.7
Quentin Moses,3.5,3,1.87,101.86
Anthony Spencer,15.5,1,1.78,122.47
Jason Hatcher,6.5,8,0.81,124.43
Stanley McClover,1,7,1.54,120.4
Carlos Hall,14.5,7,0,133.65
